Organization Name,Organization Name URL,Operating Status,Company Type,IPO Status,Estimated Revenue Range,Number of Employees,Headquarters Location,Last Funding Type,Total Funding Amount,Total Funding Amount Currency,Total Funding Amount Currency (in USD),Full Description,Industries,Description,Founded Date,Founded Date Precision,Website
Elligo Health Research,https://www.crunchbase.com/organization/elligo-health-research,Active,For Profit,Private,,251-500,"Austin, Texas, United States",Series E,171000000,USD,171000000,"Elligo Health Research is a healthcare company that revolutionizes the clinical research industry with a novel approach to common trial challenges including patient participation and enrollment, and physician participation. They provide physicians and their patients the opportunity to participate in clinical trials using advanced health care informatics. Improved access to physicians and patients means sponsors reach trial enrollment goals faster, and new products are accelerated to market, benefiting patients everywhere. It brings clinical research to physician practices, accelerating the development of pharmaceutical, biotechnology, and medical device products and therapies. Elligo Health Research was founded in 2016 and is headquartered in Austin, Texas.","Biotechnology, Health Care, Medical, Pharmaceutical",Elligo Health Research brings clinical research to physician practices and accelerate the development of medical device and therapies.,2016-01-01,year,https://www.elligohealthresearch.com/
Lygos,https://www.crunchbase.com/organization/lygos,Active,For Profit,Private,,11-50,"Berkeley, California, United States",Venture - Series Unknown,211525979,USD,211525979,"Lygos is providing biotechnology solutions for today’s renewable chemical challenges. They engineer microbes to convert sugars into high-value, industrial chemicals, targeting compounds where biological production is cost-advantaged over petrochemical production. The company's throughput screening and strain construction facilitate the rapid optimization of pathways to convert cheap and renewable feedstock to high-value chemicals. Founded in 2011, Lygos is headquartered in Berkeley, California.","Advanced Materials, Biotechnology, Clean Energy",Lygos provides biotechnology solutions for today’s renewable chemical challenges.,2011-01-01,year,http://www.lygos.com
LifeMine Therapeutics,https://www.crunchbase.com/organization/lifemine-therapeutics,Active,For Profit,Private,,101-250,"Cambridge, Massachusetts, United States",Series C,295000000,USD,295000000,"LifeMine Therapeutics combines genomics with AI and synthetic biology to discover and develop a pipeline of novel medicines. LifeMine’s Avatar-Rx platform integrates high-throughput microbiology, data science and machine learning, genome engineering, and automation technologies to search the fungal biosphere for novel GEMs having a predetermined target and biological function. The platform integrates chemoinformatic-assisted drug optimization and state-of-the-art chemical synthesis with biotransformation to advance new product candidates into development. Founded by Gregory Verdine, PhD, Rick Klausner, MD, and WeiQing Zhou, MBA. LifeMine Therapeutics is headquartered in Cambridge, Massachusetts.","Biotechnology, Genetics, Life Science, Therapeutics",LifeMine Therapeutics combines genomics with AI and synthetic biology to discover and develop a pipeline of novel medicines.,2016-01-01,year,http://www.lifeminetx.com
MeMed,https://www.crunchbase.com/organization/memed,Active,For Profit,Private,$1M to $10M,11-50,"Tirat Carmel, Hefa, Israel",Venture - Series Unknown,172953603,USD,172953603,"MeMed Diagnostics is a personalized diagnostics company founded in 2009.  They are here to improve patient care, empower physicians, and lower health-care costs through rapid and actionable diagnostics for infectious diseases. Their main focus is preventing antibiotics misuse. Antibiotics are the most prescribed class of drugs worldwide with a global market of 25-30 billion $US. Up to 70% of antibiotics are estimated to be prescribed inappropriately, making them the most misused drug class in the world. Antibiotics misuse leads to ineffective treatment, emergence of resistant strains of bacteria, and is estimated to cost healthcare systems worldwide tens of billions of dollars annually. Their platform, the ImmunoDx™, leverages the world’s most accurate diagnostic system for differentiating bacteria from viruses, crafted by nature, the body’s immune system. ImmunoDx™ combines proprietary biomarkers, algorithms, and clinical know-how to identify the source of infection (virus vs bacteria, bacterial spectrum), by decoding the immune system`s differential response to different pathogens. This unique approach enables ImmunoDx™ to address some of the major challenges facing currently available diagnostics for infectious diseases.","Biotechnology, Health Care, Health Diagnostics, Medical","MeMed Diagnostics is a personalized diagnostics company, focused on preventing antibiotics misuse.",2009-01-01,year,http://www.me-med.com
PostEra,https://www.crunchbase.com/organization/postera-e932,Active,For Profit,Private,$1M to $10M,11-50,"Boston, Massachusetts, United States",Grant,26450000,USD,26450000,"PostEra uses machine learning to close the design-make-test loop of medicinal chemistry to advance drug discovery. The company was founded in 2019 and is based in Boston, MA.","Artificial Intelligence, Biotechnology, Machine Learning, Pharmaceutical, Therapeutics",PostEra is a biotech company using its advances in machine learning for medicinal chemistry to get more cures to patients,2019-10-01,day,https://postera.ai
Frontier Medicines,https://www.crunchbase.com/organization/frontier-medicines,Active,For Profit,Private,,11-50,"San Francisco, California, United States",Series B,155500000,USD,155500000,"Frontier Medicines’is a developer of a chemoproteomics platform intended to further accelerate the path to drug discovery. The company's platform integrates advanced computational approaches and machine learning to discover and pharmacologically target new binding pockets on proteins, making them accessible to small-molecule drug discovery and development, enabling patients to consume breakthrough medicines that redefine the course of debilitating diseases.","Artificial Intelligence, Biotechnology, Pharmaceutical",Frontier Medicines is a developer of a chemoproteomics platform intended to further accelerate the path to drug discovery.,2018-01-01,year,https://frontiermeds.com/
Maze Therapeutics,https://www.crunchbase.com/organization/maze-therapeutics,Active,For Profit,Private,,101-250,"South San Francisco, California, United States",Venture - Series Unknown,381000000,USD,381000000,"Maze Therapeutics is a biotechnology firm used to focus on translating genetic insights into new medicines. The company's translating genetic insights into new medicines by utilizing an approach that combines the analysis of large-scale human genetics data, functional genomics, and an array of drug discovery approaches. and it also reveals modifier genes that confer protection and provide a deeper understanding of the target biology and how these targets can be targeted with drug therapies, enabling patients with protection against diseases.","Biotechnology, Therapeutics",Maze Therapeutics is an operator of a biotechnology firm used to focus on translating genetic insights into new medicines.,2018-01-01,year,https://www.mazetx.com/
Mori,https://www.crunchbase.com/organization/cambridge-crops,Active,For Profit,Private,$1M to $10M,51-100,"Boston, Massachusetts, United States",Series B,82265000,USD,82265000,"Mori is a developer of an edible and natural biomaterial coating that extends the shelf life of perishable foods. It uses salt and water to extract the protein from natural silk and creates a protective layer that keeps food fresher for longer enabling it to economically and sustainably transform the food supply by developing and commercializing technologies for the food, agriculture, and packaging industries. It was founded in 2016 by Adam Behrens and is headquartered in Boston, Massachusetts.","AgTech, Biotechnology, Food and Beverage, Food Processing",Mori is a developer of a protective silk coating product that extends the shelf life of perishable foods.,2016-01-01,year,https://www.mori.com
Phosphorus,https://www.crunchbase.com/organization/phosphorus,Active,For Profit,Private,Less than $1M,11-50,"New York, New York, United States",Venture - Series Unknown,17993984,USD,17993984,"Phosphorus provides the back-end infrastructure that enables ubiquitous integration of genetics in medicine by making it cost-effective, accessible, and actionable for our patients. Phosphorus’s suite of clinical-grade genomics tests use next-generation sequencing (NGS)  and are available to patients through healthcare providers, hospitals, and directly to consumers through its website. The Phosphorus laboratory is CLIA and CAP certified and licensed for testing in all 50 states.","Biotechnology, Genetics, Health Care",Phosphorus provides the back-end infrastructure that enables ubiquitous integration of genetics in medicine.,2016-01-01,year,http://phosphorus.com/
Vedanta Biosciences,https://www.crunchbase.com/organization/vedanta-biosciences,Active,For Profit,Private,$10M to $50M,51-100,"Cambridge, Massachusetts, United States",Series D,301594519,USD,301594519,"Vedanta Biosciences is a developer of immunotherapies designed to treat immune-mediated and infectious diseases. The company's immunotherapies include a suite of proprietary assays to select pharmacologically potent strains, vast proprietary datasets from human interventional studies, and facilities for cGMP-compliant manufacturing of rationally-defined bacterial consortia in powder form, enabling physicians to access live bacteria drug to treat autoimmune and inflammatory diseases easily. It was founded in 2010 and is headquartered in Cambridge, Massachusetts.","Biotechnology, Business Development, Medical",Vedanta Biosciences is a developer of immunotherapies designed to treat immune-mediated and infectious diseases.,2010-01-01,year,http://www.vedantabio.com
Kallyope,https://www.crunchbase.com/organization/kallyope,Active,For Profit,Private,$10M to $50M,101-250,"New York, New York, United States",Series D,479000000,USD,479000000,"Kallyope, headquartered at the Alexandria Center® for Life Science in New York City, is a biotechnology company dedicated to unlocking the therapeutic potential of the gut-brain axis. The company’s cross-disciplinary team integrates advanced technologies in sequencing, bioinformatics, neural imaging, cellular and molecular biology, and human genetics to provide an understanding of gut-brain biology that leads to transformational therapeutics to improve human health. The company’s founders are Charles Zuker, Ph.D., Lasker Award winner Tom Maniatis, Ph.D., and Nobel laureate Richard Axel, M.D. For more information, visit www.kallyope.com.","Biotechnology, Health Care, Medical, Pharmaceutical",Kallyope is a biotechnology company dedicated to unlocking the therapeutic potential of the gut-brain axis.,2015-01-01,year,http://www.kallyope.com/
BioIntelliSense,https://www.crunchbase.com/organization/biointellisense,Active,For Profit,Private,$1M to $10M,51-100,"Golden, Colorado, United States",Series B,81997668,USD,81997668,"BioIntelliSense is ushering in a new era of continuous health monitoring and clinical intelligence for Remote Patient Monitoring (RPM) and Health Screening. Our medical-grade Data-as-a-Service (DaaS) platform seamlessly captures multi-parameter vital signs, physiological biometrics and symptomatic events through an effortless patient experience. The FDA-cleared BioSticker™ and BioButton® devices make remote monitoring and early detection simple. Through the platform’s advanced analytics, clinicians will now have access to high-resolution patient trending and reporting to enable medical grade care from in the hospital to the home, and all points in-between.","Biotechnology, Health Care, Medical Device","BioIntelliSense, a continuous health monitoring and clinical intelligence company with medical-grade wearable devices and Data-as-a-Service.",2018-05-25,day,https://www.biointellisense.com/
Generate Biomedicines,https://www.crunchbase.com/organization/generate-biomedicines,Active,For Profit,Private,,11-50,"Somerville, Massachusetts, United States",Series B,420000000,USD,420000000,Generate Biomedicines is a biotechnological company focusing on creating breakthrough medicines.,"Biotechnology, Health Care, Medical",Generate Biomedicines is a biotechnological company focusing on creating breakthrough medicines.,2018-01-01,year,https://generatebiomedicines.com
SwanBio Therapeutics,https://www.crunchbase.com/organization/swanbio-therapeutics,Active,For Profit,Private,$1M to $10M,1-10,"Bala Cynwyd, Pennsylvania, United States",Series B,108000000,USD,108000000,SwanBio Therapeutics is a developer of a therapeutic technology designed to deliver dramatic clinical efficacy for the treatment of neurological diseases. The company's technology focuses on the development and commercialisation of genetically defined therapies for the treatment of neurological disorders.,Biotechnology,SwanBio Therapeutics is a gene therapy company focused on the development and commercialisation of genetically defined therapies.,2017-01-01,year,http://www.swanbiotx.com/
Boundless Bio,https://www.crunchbase.com/organization/boundless-bio,Active,For Profit,Private,Less than $1M,11-50,"La Jolla, California, United States",Series B,151400000,USD,151400000,"Boundless Bio is a company that develops novel cancer therapeutics intended to understand and treat intraceable cancers. It aims to be the foremost biopharma company interrogating extrachromosomal DNA (ecDNA) biology to deliver transformative therapies to patients with previously intractable cancers. Boundless Bio was founded in 2018 and is headquartered in La Jolla, California.","Biotechnology, Health Care, Life Science, Therapeutics",Boundless Bio is a precision oncology company developing therapeutics directed against extrachromosomal DNA (ecDNA) in aggressive cancers.,2018-01-01,year,https://boundlessbio.com
Cambrian Biopharma,https://www.crunchbase.com/organization/cambrian-biopharma,Active,For Profit,Private,,11-50,"New York, New York, United States",Series C,160000000,USD,160000000,"Cambrian Biopharma is building the medicines that will modernize healthcare in the 21st century – therapeutics to lengthen healthspan, the period of life spent in good health. As a Distributed Development Company (or DisCo), Cambrian is advancing multiple scientific breakthroughs, each targeting a biological driver of aging. Our approach is to develop interventions that treat specific diseases first, then deploy them as preventative medicines to improve quality of life/overall quality of life as we age.","Biopharma, Biotechnology, Life Science",Cambrian is a distributed development company building therapeutics to lengthen health span.,2019-01-01,year,https://www.cambrianbio.com/
Singlera Genomics,https://www.crunchbase.com/organization/singlera-genomics,Active,For Profit,Private,Less than $1M,11-50,"La Jolla, California, United States",Series B,274885318,USD,274885318,"Singlera Genomics is a fast growing company focusing on non-invasive genetic testing. Singlera’s main products and services include tumor diagnosis and personalized treatment, non-invasive prenatal diagnosis, pre-implantation genetic screening, and customized scientific research services. Singlera is dedicated to the development of precision medicine, striving to help the patients through early, accurate and informative diagnoses.","Biotechnology, Genetics, Health Care, Health Diagnostics, Medical",Singlera Genomics is a fast growing company focusing on non-invasive genetic testing.,2014-07-01,month,http://www.singleragenomics.com/
Korro Bio,https://www.crunchbase.com/organization/korro-bio,Active,For Profit,Private,$10M to $50M,51-100,"Cambridge, Massachusetts, United States",Series B,207500000,USD,207500000,"Korro Bio provides an efficient and selective method for RNA editing, leveraging natural processes common to all multi-cellular organisms. Korro Bio was created to lead the field of RNA editing. The company is advancing a proprietary platform designed to selectively edit messenger RNA and recode specific codons to effect changes in protein structure and function across multiple tissues. In 2018,","Biotechnology, Health Care, Pharmaceutical","Korro Bio provides an efficient and selective method for RNA editing, leveraging natural processes common to all multi-cellular organisms.",2018-01-01,year,https://www.korrobio.com
Celsius Therapeutics,https://www.crunchbase.com/organization/celsius-therapeutics,Active,For Profit,Private,$1M to $10M,11-50,"Cambridge, Massachusetts, United States",Series B,148000000,USD,148000000,"Celsius Therapeutics is a biotechnology company that develops precision medicines for cancer and autoimmune disease patients. The company is a group of scientists, technologists, computational biologists, clinicians, and drug hunters who use single-cell genomics and machine learning analysis to find new drugs. Celsius Therapeutics was founded in 2018 and is headquartered in Cambridge, Massachusetts.","Biotechnology, Emergency Medicine, Genetics, Health Care",Celsius Therapeutics is a biotechnology company that develops precision medicines for cancer and autoimmune disease patients.,2018-01-01,year,http://www.celsiustx.com
Kula Bio,https://www.crunchbase.com/organization/kula-bio,Active,For Profit,Private,Less than $1M,11-50,"Somerville, Massachusetts, United States",Series A,72128761,USD,72128761,"Kula Bio specializes in sustainable, biological solutions for modern agriculture. It energizes nitrogen-fixing microbes to produce organic fertilizer. By rewiring the energy flow from the sun to soil, they are disrupting synthetic fertilizer to eliminate the division between affordable practices and stewardship of our land, sea, and air. The company was founded in 2018 and is headquartered in Somerville, Massachusetts.","Agriculture, Biotechnology, Farming, Food and Beverage",Kula Bio is a company that provides sustainable biological solutions for modern agriculture.,2018-01-01,year,https://www.kulabio.com/
Synthace,https://www.crunchbase.com/organization/synthace,Active,For Profit,Private,$1M to $10M,11-50,"London, England, United Kingdom",Series C,80976153,USD,80976153,"Synthace is a Life Sciences R&D cloud platform that enables experiments to be rapidly automated, with the resultant data seamlessly integrated. Synthace's goal is to raise universal bioscience productivity, enabling people to better engineer biology for health, food, energy and manufacturing. Central to its technology is Antha, an operating system for biology that enables ease of designing and optimizing biological unit operations that are linked into executable workflows that are reliable, shareable and saleable. Antha spreads biological information in a repeatable way, linking lab equipment, protocols and processes, thereby allowing vast and speedy development, enhancing productivity for any bioscience.","Biotechnology, Industrial Automation, Internet of Things, Life Science, Pharmaceutical, Software","Synthace is a Life Sciences R&D cloud platform that enables experiments to be automated, with the resultant data seamlessly integrated.",2011-01-01,month,https://www.synthace.com
PrognomiQ,https://www.crunchbase.com/organization/prognomiq,Active,For Profit,Private,,11-50,"San Mateo, California, United States",Venture - Series Unknown,101000000,USD,101000000,PrognomiQ is a biotechnology firm that develops test products for the early detection and treatment of cancer and other complex diseases through the power of multi-omics data.,"Biopharma, Biotechnology, Health Care, Medical Device",PrognomiQ is a biotechnology firm that develops test products to detect early disease detection through the power of multi-omics data.,2020-01-01,year,https://prognomiq.com
Fractyl Health,https://www.crunchbase.com/organization/fractyl-laboratories,Active,For Profit,Private,$10M to $50M,51-100,"Lexington, Massachusetts, United States",Debt Financing,310187449,USD,310187449,"Fractyl Health develops innovative medical device solutions for the treatment of chronic diseases. The growing product pipeline leverages our minimally invasive procedural therapy, Revita DMR (duodenal mucosal resurfacing), which is designed to rejuvenate the lining of the duodenum and improve patient health. They envision a world with better solutions to chronic diseases through the use of less invasive, device-based therapies that will lessen the burden on patients, physicians, and payers. Fractyl Health aims to bring curative therapies to the large populations of patients with metabolic disease.","Biotechnology, Health Care, Medical Device, Therapeutics",Fractyl Health is a biotechnology company that provides curative therapies for metabolic diseases.,2010-01-01,year,http://www.fractyl.com
Nature Metrics,https://www.crunchbase.com/organization/nature-metrics,Active,For Profit,Private,$1M to $10M,11-50,"Egham, Surrey, United Kingdom",Series B,27419134,USD,27419134,"NatureMetrics is an award-winning technology start-up using cutting-edge genetic techniques to monitor biodiversity. Each species carries a unique genetic signature in all cells. When an organism's cells are shed into the environment (e.g. through excretion, mucous, saliva, gametes, or tissue breakdown) its genetic signature is also released. At NatureMetrics, we isolate these signatures from water or sediment samples - or from complex mixed-species samples of invertebrates - and use them to determine which species are present.","Biotechnology, Life Science",Nature Metrics is an award-winning technology start-up using cutting-edge genetic techniques to monitor biodiversity.,2014-01-01,year,https://www.naturemetrics.co.uk/
Elemental Machines,https://www.crunchbase.com/organization/elemental-machines,Active,For Profit,Private,$1M to $10M,11-50,"Cambridge, Massachusetts, United States",Venture - Series Unknown,16680000,USD,16680000,"Elemental Machines is revolutionizing science-based industries with a smart lab platform that offers powerful, data-driven insights to improve laboratory operations, research, development, and manufacturing outcomes. Continuously monitoring equipment and environmental variables provides new levels of clarity, transparency and consistency, and improved repeatability and gathers new data sets for advanced analytics. ","Artificial Intelligence, Biotechnology, Internet of Things, Machine Learning, SaaS, Software","Smart lab platform delivers powerful, data-driven insights that improve R&D, laboratory operations, and manufacturing outcomes. ",2015-01-01,year,https://elementalmachines.com
Minoryx Therapeutics,https://www.crunchbase.com/organization/minoryx-therapeutics,Active,For Profit,Private,$1M to $10M,11-50,"Barcelona, Catalonia, Spain",Series C,143914969,USD,143914969,"Minoryx, they are committed to finding innovative treatments for life threatening rare diseases. They focus on pediatric diseases and they are currently working on treatments for neurometabolic diseases of genetic origin.Minoryx develops a new generation of small molecule drugs known as pharmacological chaperones, which offer the most promising approach to the treatment of genetic diseases severely affecting the central nervous system. As a complementary approach, Minoryx is also involved in repositioning-based projects.","Biotechnology, Genetics, Medical, Pharmaceutical","Minoryx Therapeutics offers pharmacological chaperones, which are small molecule drugs used for the treatment of genetic diseases.",2011-01-01,year,http://www.minoryx.com
Solar Foods,https://www.crunchbase.com/organization/solar-foods-oy,Active,For Profit,Private,$1M to $10M,1-10,"Helsinki, Southern Finland, Finland",Debt Financing,42041704,USD,42041704,"The Finnish company Solar Foods Oy produces an entirely new kind of nutrient-rich protein using only air and electricity as the main resources. The goal of the company is to start commercial production of the environmentally revolutionary protein in 2020.Solar Foods’ concept redefines the basics of food production, as it is not dependent on agriculture, the weather, or the climate. The price of the protein product is also competitive compared to sources such as soy protein. ","Biotechnology, Food Processing",Solar Foods produces an entirely new kind of nutrient-rich protein using only air and electricity as the main resources.,2017-12-01,day,http://www.solarfoods.fi/
ADURO,https://www.crunchbase.com/organization/aduro-incorporated,Active,For Profit,Private,$10M to $50M,101-250,"Redmond, Washington, United States",Corporate Round,22000000,USD,22000000,"ADURO, the Human Performance company, has earned the No. 482 ranking in the 2016 Inc. 500|5000, the magazine's annual listing of the fastest-growing private companies in the U.S. The company will be featured in the September issue of Inc. Magazine as a result of its top-500 ranking, which is based on revenue growth over a three-year period.  Headquartered in Redmond, Washington, ADURO has seen explosive growth since it was founded with the mission of utilizing data, technology and a human touch to drive positive behavior change and improve health and well-being. Today, the company's Human Performance programs — which go beyond physical health to address the interconnected core elements of life — reach nearly 1 million unique users at leading companies and healthcare organizations. Learn more at www.adurolife.com.","Biometrics, Fitness, Health Care, Wellness","Coaching, Biometrics and Engagement Health Tech Company",2013-02-14,day,http://www.adurolife.com
Mycorena,https://www.crunchbase.com/organization/mycorena,Active,For Profit,Private,Less than $1M,1-10,"Gothenburg, Vastra Gotaland, Sweden",Series A,37694934,USD,37694934,"Mycorena is a fungi-based, next-generation vegan protein and food manufacturing solution to plants, using significantly less resources. Mycorena was established in 2017 and is headquartered in Gothenburg, Sweden.","Biotechnology, Food and Beverage, Food Processing, Manufacturing","Mycorena is a fungi-based, next-generation vegan protein and food manufacturing solution to plants, using significantly less resources.",2017-09-06,day,https://mycorena.com/
PetDx,https://www.crunchbase.com/organization/petdx,Active,For Profit,Private,$10M to $50M,51-100,"La Jolla, California, United States",Series B,72000000,USD,72000000,"PetDx® – The Liquid Biopsy Company for Pets is a San Diego-based molecular diagnostics company dedicated to unleashing the power of genomics to improve pet health. The company's flagship product, OncoK9®, enables veterinarians to detect cancer in dogs with a simple blood draw. As a first-in-class multi-cancer early detection (MCED) test, OncoK9 employs cutting-edge genomic analysis that leverages next-generation sequencing (NGS) technology and proprietary bioinformatics algorithms, empowering veterinarians to provide superior care to canine patients.","Biotechnology, Health Diagnostics, Life Science, Pet, Veterinary",PetDx is a molecular diagnostics company dedicated to the detection and treatment of cancer in pets.,2019-01-01,year,https://petdx.com
BlueRock Therapeutics,https://www.crunchbase.com/organization/bluerock-therapeutics,Active,For Profit,Private,$10M to $50M,101-250,"Toronto, Ontario, Canada",Series A,225000000,USD,225000000,"BlueRock Therapeutics is a biotech company that plans to develop induced pluripotent stem cell (iPSC) therapies to cure a range of diseases using an industry-leading platform. One of the initial programs is to regenerate heart muscle in patients who have had a heart attack (myocard infarction, MI) or are suffering from chronic heart failure, leading causes of morbidity and mortality worldwid.","Biopharma, Biotechnology, Health Care, Medical",It is a regenerative medicine company.,2016-01-01,year,http://www.bluerocktx.com
Auris Health,https://www.crunchbase.com/organization/auris-surgical-robotics,Active,For Profit,Private,$50M to $100M,251-500,"Redwood City, California, United States",Secondary Market,733296837,USD,733296837,"Auris Health engages in the development of robotics technology for medical applications. The company designs a novel dual-arm micro-surgical system for ophthalmic surgery. The company focuses on transforming medical intervention by integrating robotics, micro-instrumentation, endoscope design, sensing, and data science into one platform.  It was founded in 2007 and headquartered in Redwood City, California.","Biotechnology, Health Care, Medical, Medical Device, Robotics",Auris Health engages in the development of robotics technology for medical applications.,2007-01-01,year,https://www.aurishealth.com/
Kintsugi,https://www.crunchbase.com/organization/kintsugi,Active,For Profit,Private,$1M to $10M,11-50,"Berkeley, California, United States",Series A,29269772,USD,29269772,"Kintsugi is developing smarter mental healthcare infrastructure using voice biomarkers to streamline access to care. Awarded multiple distinctions for novel AI technology through the National Science Foundation, Kintsugi detects signs of clinical depression and anxiety from short clips of free-form speech, closing mental health care gaps across risk-bearing health systems, saving time and lives.","Artificial Intelligence, Biotechnology, Health Care, Health Diagnostics, Machine Learning",Kintsugi detects signs of clinical depression and anxiety using machine learning and voice biomarkers.,2019-01-01,year,https://kintsugihello.com
Amunix,https://www.crunchbase.com/organization/amunix-2,Active,For Profit,Private,$50M to $100M,51-100,"South San Francisco, California, United States",Series B,190000000,USD,190000000,"Amunix is a biopharmaceutical company intended to discover, design, and develop novel biologics, protein, and peptide therapeutics. The company is focused on developing prodrugs to bring the promise of potent immune-activating biotherapeutics to patients with solid tumor cancers. By delivering breakthrough therapies that can safely harness the immune system, it aims to conquer cancer and save lives. Its pipeline products are based on its proprietary XTEN half-life extension, XDC drug-conjugate delivery, and ProTIA pro-drug, bispecific T cell engager platform and have ongoing collaborations with biopharma corporations harnessing these delivery technologies over a wide range of therapeutic areas, delivering improved pharmaceutical technologies. Amunix was founded in 2006 and is headquartered in Mountain View, California.","Biotechnology, Medical, Therapeutics","Amunix is a biopharmaceutical company intended to discover, design, and develop novel biologics, protein, and peptide therapeutics.",2006-01-01,year,https://www.amunix.com
BostonGene,https://www.crunchbase.com/organization/bostongene,Active,For Profit,Private,$10M to $50M,101-250,"Waltham, Massachusetts, United States",Series B,200000000,USD,200000000,"BostonGene Corporation is pioneering the use of biomedical software for advanced patient analysis and personalized therapy decision making in the fight against cancer. BostonGene’s unique solution performs sophisticated analytics to aid clinicians in their evaluation of viable treatment options for each patient's individual genetics, tumor and tumor microenvironment, clinical characteristics and disease profile. BostonGene’s mission is to enable physicians to provide every patient with the highest probability of survival through optimal cancer treatments using advanced, personalized therapies","Bioinformatics, Genetics, Health Care, Software",BostonGene is a biomedical software company for advanced patient analysis and personalized therapy in the fight against cancer.,2015-01-01,year,http://www.bostongene.com/
Agriprotein,https://www.crunchbase.com/organization/agriprotein,Active,For Profit,Private,$10M to $50M,101-250,"Cape Town, NA - South Africa, South Africa",Venture - Series Unknown,122500000,USD,122500000,Agriprotein is an agriTech company that specializes in nutrient recycling to create sustainable sources of protein for the mono-gastric animal feed industry. ,"Agriculture, Biotechnology, Food and Beverage, Recycling, Service Industry",Agriprotein specializes in nutrient recycling to create sustainable sources of protein for the mono-gastric animal feed industry.,2008-01-01,year,http://www.agriprotein.com/
Mojia Bioscience,https://www.crunchbase.com/organization/mojia-bioscience,Active,For Profit,Private,,1-10,"Guangan, Sichuan, China",Series B,237700000,USD,237700000,,Biotechnology,Mojia Bioscience is a biotechnology company.,2018-08-09,day,http://mojiabio.com/
COTA Healthcare,https://www.crunchbase.com/organization/cota-track,Active,For Profit,Private,$1M to $10M,101-250,"New York, New York, United States",Series D,109000000,USD,109000000,"COTA was founded in 2011 by doctors, engineers, and data scientists to create clarity from fragmented and often-inaccessible real world data. By using proprietary technology, advanced analytics and deep expertise to organize complex data, COTA provides a comprehensive picture of cancer that can be used to advance care and research.","Biotechnology, Health Care, Life Science",Bringing clarity to cancer. Working to ensure that everyone touched by cancer has a clear path to the right care.,2011-01-01,year,http://www.cotahealthcare.com
Dewpoint Therapeutics,https://www.crunchbase.com/organization/dewpoint-therapeutics,Active,For Profit,Private,,101-250,"Boston, Massachusetts, United States",Series C,287000000,USD,287000000,"Dewpoint Therapeutics is a biotech company developing a drug platform that targets biomolecular condensates. Its technology uses machine-learning-based image analysis tools for visualizing condensates and offers an engine for genetically linked condensatopathy which is a collection of engineered cell lines with trackable condensates to prevent harmful protein sequestration, helping healthcare providers to have access to new therapies to address unmet needs. The company was founded in 2018 and is headquartered in Boston, Massachusetts.","Biotechnology, Life Science, Medical, Therapeutics",Dewpoint Therapeutics is a biotech company developing a drug platform that targets biomolecular condensates.,2018-01-01,year,https://dewpointx.com
Nimbus Therapeutics,https://www.crunchbase.com/organization/nimbus-discovery,Active,For Profit,Private,,11-50,"Cambridge, Massachusetts, United States",Venture - Series Unknown,302000000,USD,302000000,"Nimbus Discovery is now Nimbus Therapeutics to reflect our transition into a clinical stage company.  Nimbus Therapeutics is a biotechnology company headquartered in Cambridge, Mass., that is pioneering a new computational technology-driven paradigm to rapidly advance a diverse pipeline of novel small molecule product candidates into clinical development. We are designing highly selective and potent medicines to disrupt known drivers of serious diseases, including metabolic disease, cancer and immune-inflammatory disorders.","Alternative Medicine, Biotechnology, Health Care, Therapeutics",Nimbus Discovery is now Nimbus Therapeutics to reflect our transition into a clinical stage company.,2009-01-01,year,http://nimbustx.com
Genome Medical,https://www.crunchbase.com/organization/genome-medical,Active,For Profit,Private,$1M to $10M,51-100,"South San Francisco, California, United States",Series C,120724999,USD,120724999,"Genome Medical is a national telegenomics technology, services, and strategy company bringing genomic medicine to everyday care. Through its nationwide network of genetic specialists and an efficient Genome Care DeliveryTM technology platform, we provide expert virtual genetic care for individuals and their families to improve health and well-being. They also help health care providers and their patients navigate the rapidly expanding field of genetics and utilize test results to understand the risk for disease, accelerate disease diagnosis, make informed treatment decisions and lower the cost of care. The company was founded in 2016 and is based in South San Francisco, California, United States.","Genetics, Health Care, Life Science, Medical",Genome Medical is a telegenomics technology and services company allowing access to genomic-based medicine.,2016-01-01,year,https://www.genomemedical.com/
GentiBio,https://www.crunchbase.com/organization/gentibio,Active,For Profit,Private,$1M to $10M,1-10,"Seattle, Washington, United States",Series A,177000000,USD,177000000,"GentiBio is a biotherapeutics company developing engineered regulatory T cells (EngTregs) programmed to treat autoimmune allergic diseases. The early-stage biotherapeutics company co-founded by pioneers in Treg biology and synthetic immunology to develop engineered regulatory T cells (EngTregs) programmed to treat autoimmune, alloimmune, autoinflammatory, and allergic diseases. GentiBio's proprietary autologous and allogeneic EngTregs platform integrates key complementary technologies needed to successfully restore immune tolerance and overcome major limitations in existing regulatory T-cell therapeutics. GentiBio is at the forefront of leveraging a unique therapeutic modality that can be used to address the fundamental cause of many diseases that result from overshooting and/or malfunctioning of the immune system. GentiBio is a Seattle, Washington-headquartered company launched in 2020 by Adel Nada, Chandra Patel, and Andy Walker.","Biotechnology, Life Science",GentiBio is a biotherapeutics company developing engineered regulatory T cells programmed to treat autoimmune allergic diseases.,2020-01-01,year,http://www.gentibio.com
